,growth_season,month,date,at,rh,st,sm1,sm2,ppt,par,...9,...10,int
1,2014,12,55:26.8,16.00186022,68.35345631,15.27150538,0.17868844,0.191126446,0.284971098,NA,NA,NA,12.2014
2,2015,1,2015-01-16 12:53,16.8595914,58.18322581,13.79301075,0.133783065,0.17801277,0.023655915,NA,NA,NA,1.2015
3,2015,2,2015-02-15 0:53,18.52031548,61.59639216,16.55357143,0.105044643,0.159093006,0.023809524,NA,NA,NA,2.2015
4,2015,3,32:14.1,20.26712291,55.95389344,18.8603352,0.115538548,0.167557123,0.080446928,NA,NA,NA,3.2015
5,2015,12,37:36.4,16.20731081,71.6672963,14.66216216,0.060571757,0.101796757,0.063783785,0.678571429,NA,NA,12.2015
6,2016,1,2016-01-16 10:00,NA,NA,NA,0.149859946,0.157633333,0.539784946,0.666666667,NA,NA,1.2016
7,2016,2,05:31.7,18.48191803,57.0223908,16.64754098,0.11144023,0.150159195,0.055172414,0.666666667,NA,NA,2.2016
8,2016,3,38:39.9,17.23487027,72.77770085,18.00810811,0.096402703,0.134744595,0.143783783,0.67027027,NA,NA,3.2016
9,2016,12,2016-12-16 10:32,14.95058065,67.0264434,14.02956989,0.126288441,0.132768548,0.735483866,0.564516129,NA,NA,12.2016
10,2017,1,2017-01-16 10:32,13.65205376,71.76254023,12.79032258,0.197140053,0.186309409,0.667741936,0.543010753,NA,NA,1.2017
11,2017,2,01:53.6,14.7280274,77.10721154,14.80952381,0.182878911,0.187510545,0.734693881,0.613095238,NA,NA,2.2017
12,2017,3,48:19.4,16.65330811,73.06045045,17.25675676,0.126947568,0.161126757,0.046486487,0.537634409,NA,NA,3.2017
13,2017,12,2017-12-16 10:00,NA,NA,15.51612903,-0.017466667,0.029699194,0.039784946,0.5,NA,NA,12.2017
14,2018,1,2018-01-16 10:00,NA,NA,15.17741935,0.092471237,0.121855645,0.191397853,0.505376344,NA,NA,1.2018
15,2018,2,2018-02-14 22:00,NA,NA,15.70535714,0.039791964,0.092881547,0.04047619,0.666666667,NA,NA,2.2018
16,2018,3,2018-03-16 10:00,NA,NA,16.94086022,0.07746371,0.101396237,0.14731183,0.661290323,NA,NA,3.2018
17,2018,12,2018-12-16 10:00,15.53012903,83.43994624,14.01344086,NA,NA,NA,NA,NA,NA,12.2018
18,2019,1,2019-01-16 10:00,15.41384409,76.39457527,12.94623656,NA,NA,NA,NA,NA,NA,1.2019
19,2019,2,2019-02-14 22:00,13.23032143,81.91358929,12.55654762,NA,NA,NA,NA,NA,NA,2.2019
20,2019,3,2019-03-16 10:00,15.35092473,85.79439247,16.08602151,NA,NA,NA,NA,NA,NA,3.2019
21,2019,12,2019-12-16 10:00,13.97442473,86.08521505,13.4516129,0.134633065,0.177695161,0.002150538,NA,1,NA,12.2019
22,2020,1,2020-01-16 10:00,13.88252151,91.35441398,13.25537634,0.111481989,0.163464516,0.051612904,NA,1,NA,1.202
23,2020,2,2020-02-15 10:00,14.89524713,84.41028161,14.50862069,0.084894827,0.164521265,0.278160915,NA,1,NA,2.202
24,2020,3,2020-03-16 10:00,15.04153763,94.0762043,16.23943662,0.125191667,0.183800537,0.381720429,NA,1,NA,3.202
25,2020,12,2020-12-16 10:00,14.19154301,77.78862366,14.27688172,-0.005260484,0.047951344,0,0.5,NA,NA,12.202
26,2021,1,2021-01-16 10:00,13.73569355,80.80250538,13.63978495,0.066171505,0.122609677,0,0.5,NA,NA,1.2021
27,2021,2,2021-02-14 22:00,14.26560119,86.52660119,15.29761905,0.060880059,0.130397917,0,0.642857143,NA,NA,2.2021
28,2021,3,2021-03-16 10:00,14.91144086,86.95454802,16.18644068,0.067355108,0.130232258,0,0.666666667,NA,NA,3.2021
29,2021,12,2021-12-16 10:00,13.45967742,NA,NA,0.073227419,0.119022312,0,0.5,NA,NA,12.2021
30,2022,1,2022-01-16 10:00,13.93817204,NA,NA,0.103333871,0.153246236,0,0.5,NA,NA,1.2022
31,2022,2,2022-02-14 22:00,15.22321429,NA,NA,0.048160416,0.116808036,0,0.625,NA,NA,2.2022
32,2022,3,2022-03-16 10:00,16.30357143,NA,NA,0.079058602,0.1429457,0,0.666666667,NA,NA,3.2022
33,2022,12,2022-12-16 10:00,NA,NA,NA,0.072697312,0.139573118,0,0.666666667,NA,NA,12.2022
34,2023,1,2023-01-16 10:00,NA,NA,NA,0.142580108,0.187328495,0,0.661290323,NA,NA,1.2023
35,2023,2,2023-02-14 22:00,NA,NA,NA,0.133514584,0.174861011,0,0.666666667,NA,NA,2.2023
36,2023,3,2023-03-16 10:00,NA,NA,NA,0.154909678,0.200608602,0,0.666666667,NA,NA,3.2023
